Bat1,Wkts,Conc,Ct,St,Opposition,Ground,Start Date,match_link,player_id
158*,-,-,1,0,v RCB,Bengaluru,18-Apr-08,/ci/engine/match/335982.html,2
5,-,-,0,0,v Chargers,Eden Gardens,20-Apr-08,/ci/engine/match/335986.html,2
24,-,-,0,0,v CSK,Chennai,26-Apr-08,/ci/engine/match/335993.html,2
1,-,-,0,0,v MI,Eden Gardens,29-Apr-08,/ci/engine/match/335997.html,2
1,-,-,0,0,v Chargers,Cape Town,19-Apr-09,/ci/engine/match/392184.html,2
21,-,-,2,0,v Kings XI,Durban,21-Apr-09,/ci/engine/match/392186.html,2
3,-,-,0,0,v RR,Cape Town,23-Apr-09,/ci/engine/match/392190.html,2
1,-,-,1,0,v MI,Gqeberha,27-Apr-09,/ci/engine/match/392197.html,2
0,-,-,0,0,v RCB,Durban,29-Apr-09,/ci/engine/match/392199.html,2
5,-,-,2,0,v MI,East London,1-May-09,/ci/engine/match/392203.html,2
19,-,-,0,0,v Kings XI,Gqeberha,3-May-09,/ci/engine/match/392207.html,2
35,-,-,0,0,v Daredevils,Durban,5-May-09,/ci/engine/match/392211.html,2
6,-,-,0,0,v Daredevils,Johannesburg,10-May-09,/ci/engine/match/392219.html,2
84*,-,-,1,0,v RCB,Centurion,12-May-09,/ci/engine/match/392221.html,2
20,-,-,0,0,v Chargers,Johannesburg,16-May-09,/ci/engine/match/392228.html,2
81,-,-,0,0,v CSK,Centurion,18-May-09,/ci/engine/match/392231.html,2
9,-,-,0,0,v RR,Durban,20-May-09,/ci/engine/match/392233.html,2
6,-,-,1,0,v Daredevils,Eden Gardens,7-Apr-10,/ci/engine/match/419144.html,2
45,-,-,0,0,v RCB,Bengaluru,10-Apr-10,/ci/engine/match/419148.html,2
0,-,-,0,0,v CSK,Chennai,13-Apr-10,/ci/engine/match/419153.html,2
6,-,-,0,0,v RR,Eden Gardens,17-Apr-10,/ci/engine/match/419158.html,2
57*,-,-,1,0,v MI,Eden Gardens,19-Apr-10,/ci/engine/match/419161.html,2
45,-,-,1,0,v RCB,Kochi,9-Apr-11,/ci/engine/match/501200.html,2
0,-,-,0,0,v Warriors,DY Patil,13-Apr-11,/ci/engine/match/501207.html,2
81,-,-,0,0,v MI,Wankhede,15-Apr-11,/ci/engine/match/501210.html,2
47,-,-,0,0,v CSK,Kochi,18-Apr-11,/ci/engine/match/501215.html,2
23,-,-,0,0,v KKR,Eden Gardens,20-Apr-11,/ci/engine/match/501219.html,2
0,-,-,0,0,v Chargers,Kochi,27-Apr-11,/ci/engine/match/501229.html,2
7,-,-,0,0,v Daredevils,Kochi,30-Apr-11,/ci/engine/match/501233.html,2
37,-,-,0,0,v Daredevils,Delhi,2-May-11,/ci/engine/match/501238.html,2
1,-,-,1,0,v KKR,Kochi,5-May-11,/ci/engine/match/501242.html,2
22,-,-,0,0,v RCB,Bengaluru,8-May-11,/ci/engine/match/501247.html,2
32,-,-,0,0,v Kings XI,Indore,13-May-11,/ci/engine/match/501254.html,2
29,-,-,0,0,v RR,Indore,15-May-11,/ci/engine/match/501258.html,2
33,-,-,0,0,v CSK,Chennai,18-May-11,/ci/engine/match/501261.html,2
9,-,-,0,0,v Daredevils,Eden Gardens,5-Apr-12,/ci/engine/match/548307.html,2
2,-,-,1,0,v RR,Jaipur,8-Apr-12,/ci/engine/match/548312.html,2
15,-,-,0,0,v Kings XI,Mohali,18-Apr-12,/ci/engine/match/548328.html,2
10,-,-,1,0,v Chargers,Cuttack,22-Apr-12,/ci/engine/match/548335.html,2
43,-,-,1,0,v RCB,Eden Gardens,28-Apr-12,/ci/engine/match/548344.html,2
2,-,-,1,0,v CSK,Chennai,30-Apr-12,/ci/engine/match/548347.html,2
42,-,-,0,0,v Warriors,Eden Gardens,5-May-12,/ci/engine/match/548353.html,2
56,-,-,1,1,v Daredevils,Delhi,7-May-12,/ci/engine/match/548357.html,2
37,-,-,0,0,v CSK,Eden Gardens,14-May-12,/ci/engine/match/548368.html,2
1,-,-,2,1,v MI,Wankhede,16-May-12,/ci/engine/match/548370.html,2
41,-,-,0,2,v Warriors,Pune,19-May-12,/ci/engine/match/548375.html,2
31,-,-,2,2,v Daredevils,Pune,22-May-12,/ci/engine/match/548378.html,2
6,-,-,0,0,v CSK,Chennai,28-Apr-13,/ci/engine/match/598034.html,2
67,-,-,0,0,v Kings XI,Abu Dhabi,18-Apr-14,/ci/engine/match/729283.html,2
9,-,-,1,0,v Daredevils,Abu Dhabi,21-Apr-14,/ci/engine/match/729293.html,2
6,-,-,0,0,v RR,Dubai (DICS),23-Apr-14,/ci/engine/match/729297.html,2
71*,-,-,1,0,v MI,Dubai (DICS),25-Apr-14,/ci/engine/match/729303.html,2
40,-,-,0,0,v SRH,Sharjah,27-Apr-14,/ci/engine/match/729311.html,2
56,-,-,1,0,v KKR,Ranchi,2-May-14,/ci/engine/match/733971.html,2
32,-,-,0,0,v Daredevils,Delhi,5-May-14,/ci/engine/match/733981.html,2
33,-,-,0,0,v Kings XI,Cuttack,7-May-14,/ci/engine/match/733987.html,2
13,-,-,1,0,v MI,Wankhede,10-May-14,/ci/engine/match/733995.html,2
6,-,-,0,0,v RR,Ranchi,13-May-14,/ci/engine/match/734003.html,2
19,-,-,1,0,v RCB,Ranchi,18-May-14,/ci/engine/match/734013.html,2
28,-,-,0,0,v KKR,Eden Gardens,20-May-14,/ci/engine/match/734023.html,2
14,-,-,1,0,v MI,Brabourne,28-May-14,/ci/engine/match/734045.html,2
11,-,-,0,0,v Kings XI,Wankhede,30-May-14,/ci/engine/match/734047.html,2
4,-,-,0,0,v Daredevils,Chennai,9-Apr-15,/ci/engine/match/829707.html,2
100*,-,-,0,0,v SRH,Chennai,11-Apr-15,/ci/engine/match/829711.html,2
46,-,-,0,0,v MI,Wankhede,17-Apr-15,/ci/engine/match/829729.html,2
12,-,-,0,0,v RR,Ahmedabad,19-Apr-15,/ci/engine/match/829735.html,2
4,-,-,0,0,v RCB,Bengaluru,22-Apr-15,/ci/engine/match/829745.html,2
66,-,-,0,0,v Kings XI,Chennai,25-Apr-15,/ci/engine/match/829753.html,2
19,-,-,1,0,v KKR,Chennai,28-Apr-15,/ci/engine/match/829765.html,2
32,-,-,0,0,v KKR,Eden Gardens,30-Apr-15,/ci/engine/match/829723.html,2
12,-,-,0,0,v SRH,Hyderabad,2-May-15,/ci/engine/match/829773.html,2
20,-,-,0,0,v RCB,Chennai,4-May-15,/ci/engine/match/829779.html,2
23,-,-,0,0,v MI,Chennai,8-May-15,/ci/engine/match/829789.html,2
81,-,-,0,0,v RR,Chennai,10-May-15,/ci/engine/match/829797.html,2
11,-,-,0,0,v Daredevils,Raipur,12-May-15,/ci/engine/match/829801.html,2
6,-,-,1,0,v Kings XI,Mohali,16-May-15,/ci/engine/match/829809.html,2
0,-,-,0,0,v Kings XI,Mohali,11-Apr-16,/ci/engine/match/980905.html,2
49,-,-,0,0,v Supergiants,Rajkot,14-Apr-16,/ci/engine/match/980911.html,2
6,-,-,0,0,v MI,Wankhede,16-Apr-16,/ci/engine/match/980917.html,2
18,-,-,0,0,v SRH,Rajkot,21-Apr-16,/ci/engine/match/980929.html,2
42,-,-,0,0,v RCB,Rajkot,24-Apr-16,/ci/engine/match/980937.html,2
60,-,-,0,0,v Daredevils,Delhi,27-Apr-16,/ci/engine/match/980945.html,2
43,-,-,0,0,v Supergiants,Pune,29-Apr-16,/ci/engine/match/980949.html,2
1,-,-,0,0,v Kings XI,Rajkot,1-May-16,/ci/engine/match/980955.html,2
1,-,-,0,0,v Daredevils,Rajkot,3-May-16,/ci/engine/match/980961.html,2
7,-,-,0,0,v SRH,Hyderabad,6-May-16,/ci/engine/match/980967.html,2
29,-,-,0,0,v KKR,Eden Gardens,8-May-16,/ci/engine/match/980975.html,2
11,-,-,0,0,v RCB,Bengaluru,14-May-16,/ci/engine/match/980987.html,2
6,-,-,0,0,v KKR,Kanpur,19-May-16,/ci/engine/match/981001.html,2
48,-,-,0,0,v MI,Kanpur,21-May-16,/ci/engine/match/981007.html,2
1,-,-,0,0,v RCB,Bengaluru,24-May-16,/ci/engine/match/981013.html,2
32,-,-,0,0,v SRH,Delhi,27-May-16,/ci/engine/match/981017.html,2
35,-,-,0,0,v KKR,Rajkot,7-Apr-17,/ci/engine/match/1082593.html,2
5,-,-,1,0,v SRH,Hyderabad,9-Apr-17,/ci/engine/match/1082596.html,2
49,-,-,1,0,v Supergiant,Rajkot,14-Apr-17,/ci/engine/match/1082603.html,2
64,-,-,1,0,v MI,Wankhede,16-Apr-17,/ci/engine/match/1082606.html,2
72,-,-,0,0,v RCB,Rajkot,18-Apr-17,/ci/engine/match/1082610.html,2
33,-,-,1,0,v KKR,Eden Gardens,21-Apr-17,/ci/engine/match/1082613.html,2
6,-,-,1,0,v Kings XI,Rajkot,23-Apr-17,/ci/engine/match/1082616.html,2
3,-,-,1,0,v RCB,Bengaluru,27-Apr-17,/ci/engine/match/1082621.html,2
6,-,-,1,0,v MI,Rajkot,29-Apr-17,/ci/engine/match/1082625.html,2
45,-,-,1,0,v Supergiant,Pune,1-May-17,/ci/engine/match/1082629.html,2
1,-,-,0,0,v Daredevils,Delhi,4-May-17,/ci/engine/match/1082632.html,2
43,-,-,1,0,v KKR,Eden Gardens,8-Apr-18,/ci/engine/match/1136563.html,2
0,-,-,0,0,v Kings XI,Bengaluru,13-Apr-18,/ci/engine/match/1136568.html,2
4,-,-,0,0,v RR,Bengaluru,15-Apr-18,/ci/engine/match/1136571.html,2
38,-,-,0,0,v KKR,Bengaluru,29-Apr-18,/ci/engine/match/1136589.html,2
37,-,-,0,0,v MI,Bengaluru,1-May-18,/ci/engine/match/1136591.html,2
5,-,-,0,0,v CSK,Pune,5-May-18,/ci/engine/match/1136595.html,2
20,-,-,2,0,v RCB,Bengaluru,18-Apr-08,/ci/engine/match/335982.html,3
0,-,-,0,0,v Chargers,Eden Gardens,20-Apr-08,/ci/engine/match/335986.html,3
0,-,-,0,0,v CSK,Chennai,26-Apr-08,/ci/engine/match/335993.html,3
19,-,-,0,0,v MI,Eden Gardens,29-Apr-08,/ci/engine/match/335997.html,3
28,-,-,0,0,v RCB,Bengaluru,4-Apr-13,/ci/engine/match/597999.html,3
6,-,-,1,0,v CSK,Chennai,6-Apr-13,/ci/engine/match/598002.html,3
0,-,-,1,0,v Daredevils,Wankhede,9-Apr-13,/ci/engine/match/598006.html,3
14,-,-,0,0,v Warriors,Wankhede,13-Apr-13,/ci/engine/match/598011.html,3
4,-,-,0,0,v RR,Jaipur,17-Apr-13,/ci/engine/match/598019.html,3
DNB,-,-,0,0,v Daredevils,Delhi,21-Apr-13,/ci/engine/match/598024.html,3
12,-,-,0,0,v RCB,Bengaluru,18-Apr-08,/ci/engine/match/335982.html,4
38*,1,35,1,0,v Chargers,Eden Gardens,20-Apr-08,/ci/engine/match/335986.html,4
0,0,10,0,0,v CSK,Chennai,26-Apr-08,/ci/engine/match/335993.html,4
17,-,-,1,0,v MI,Eden Gardens,29-Apr-08,/ci/engine/match/335997.html,4
42,0,26,1,0,v RR,Jaipur,1-May-08,/ci/engine/match/336000.html,4
71,1,23,0,0,v Kings XI,Mohali,3-May-08,/ci/engine/match/336003.html,4
26,-,-,0,0,v RCB,Eden Gardens,8-May-08,/ci/engine/match/336010.html,4
57*,-,-,0,0,v Chargers,Hyderabad,11-May-08,/ci/engine/match/336014.html,4
31,-,-,2,0,v Daredevils,Eden Gardens,13-May-08,/ci/engine/match/336017.html,4
