player_id,player_name,country,played_international,bowling_style,batting_style,player_role
45,DJ Thornely,Australia,,"Right arm Medium, Right arm Offbreak",Right hand Bat,Top order Batter
69,WA Mota,India,,Right arm Medium,Right hand Bat,
73,MA Khote,India,,Right arm Medium,Right hand Bat,
100,D Kalyankrishna,India,,Right arm Medium fast,Right hand Bat,
115,YV Takawale,India,,,Right hand Bat,
116,RR Raje,India,,Right arm Fast medium,Right hand Bat,
122,M Muralitharan,India,,,,
124,DT Patil,India,,,Right hand Bat,
131,J Arunkumar,India,,Right arm Offbreak,Right hand Bat,
143,PM Sarvesh Kumar,India,,Right arm Medium,Right hand Bat,
144,DP Vijaykumar,India,,Right arm Medium,Right hand Bat,
147,H Das,India,,,Right hand Bat,
151,VS Yeligati,India,,Right arm Offbreak,Right hand Bat,
173,AA Bilakhia,India,,Right arm Medium,Right hand Bat,
180,Shoaib Ahmed,India,,Right arm Fast medium,Right hand Bat,
181,GR Napier,England,No,Right arm Medium,Right hand Bat,Bowling Allrounder
183,LA Carseldine,Australia,No,Left arm Medium,Left hand Bat,Allrounder
190,D du Preez,,,Right arm Fast medium,Right hand Bat,
194,C Nanda,,,Legbreak,Right hand Bat,
201,SS Shaikh,India,,Right arm Medium,Right hand Bat,
206,Anirudh Singh,,,Right arm Medium,Left hand Bat,
207,Jaskaran Singh,Canada,,Right arm Medium,Right hand Bat,Bowler
214,A Uniyal,,,Left arm Medium,Left hand Bat,
263,UBT Chand,U.S.A.,,Right arm Offbreak,Right hand Bat,Wicketkeeper Batter
264,DJ Jacobs,South Africa,,Right arm Medium,Right hand Bat,Wicketkeeper Batter
266,NJ Rimmington,Australia,,Right arm Fast medium,Right hand Bat,Bowler
290,AC Blizzard,Australia,,Left arm Medium,Left hand Bat,Batter
295,P Parameswaran,,,Left arm Medium,Right hand Bat,
299,ND Doshi,England,,Slow Left arm Orthodox,Right hand Bat,Bowler
310,KK Cooper,West Indies,,Right arm Medium,Right hand Bat,Allrounder
314,DJ Harris,,,Right arm Medium,Right hand Bat,
327,V Pratap Singh,,,Right arm Medium,Right hand Bat,
331,AP Majumdar,,,Legbreak Googly,Right hand Bat,
333,K Upadhyay,,,Right arm Medium,Right hand Bat,
338,Sunny Gupta,,,Right arm Offbreak,Right hand Bat,
362,X Thalaivan Sargunam,,,Right arm Offbreak,Right hand Bat,
366,UA Birla,,,Right arm Medium,Right hand Bat,
382,Shivam Sharma,,,Right arm Offbreak,Right hand Bat,
385,VH Zol,,,Right arm Offbreak,Left hand Bat,
393,Karanveer Singh,,,Legbreak Googly,Right hand Bat,
405,DJ Muthuswami,,,Right arm Medium,Right hand Bat,
487,JPR Scantlebury-Searles,West Indies,,Right arm Fast medium,Right hand Bat,Bowling Allrounder
492,Navdeep Saini,,,,,
514,P Simran Singh,,,,,
549,PWH de Silva,,,,,
563,Tilak Varma,,,,,
616,Dhruv Jurel,,,,,
622,Atharva Taide,,,,,
623,Liton Das,,,,,
625,Vijaykumar Vyshak,,,,,
627,Arjun Tendulkar,,,,,
647,Akash Madhwal,,,,,
649,Mayank Dagar,,,,,
652,Ashutosh Sharma,,,,,
653,Nithish Kumar Reddy,,,,,
654,Saurav Chauhan,,,,,
655,Kumar Kushagra,,,,,
659,Tanush Kotian,,,,,
661,Arshad Khan (2),,,,,
671,T Kohler-Cadmore,England,,Right arm Offbreak,Right hand Bat,Wicketkeeper Batter
674,P Amarnath,,,Right arm Medium,Right hand Bat,
676,Gagandeep Singh,,,Right arm Medium fast,Right hand Bat,
679,RR Bose,,,Right arm Fast medium,Right hand Bat,
681,RA Shaikh,,,Left arm Medium,Left hand Bat,
682,C Ganapathy,,,Right arm Medium,Right hand Bat,
683,MB Parmar,,,Right arm Offbreak,Right hand Bat,
689,TP Sudhindra,,,Right arm Fast,Left hand Bat,
698,SS Agarwal,,,Legbreak Googly,Right hand Bat,
716,J Little,,,,,
722,D Jansen,South Africa,,Left arm Fast,Right hand Bat,Bowler
