player_id,player_name,country,played_international,ipl_time_span,no_of_ipl_matches,bowling_style,batting_style,player_role
1,SC Ganguly,,,2011-2012,19,,,
2,BB McCullum,,,2018-2018,6,,,
3,RT Ponting,,,2013-2013,6,,,
4,DJ Hussey,,,2008-2010,23,,,
5,Mohammad Hafeez,,,2008-2008,8,,,
6,R Dravid,,,2008-2010,43,,,
7,W Jaffer,,,2008-2009,8,,,
8,V Kohli,,,2008-2024,252,,,
9,JH Kallis,,,2008-2010,42,,,
10,CL White,,,2013-2013,13,,,
11,MV Boucher,,,2008-2010,27,,,
12,B Akhil,,,2008-2010,14,,,
13,AA Noffke,,,2008-2008,1,,,
14,P Kumar,,,2015-2015,12,,,
15,Z Khan,,,2008-2013,44,,,
16,SB Joshi,,,2008-2008,4,,,
17,PA Patel,,,2013-2013,13,,,
18,ML Hayden,,,2008-2010,32,,,
19,MEK Hussey,,,2014-2014,9,,,
20,MS Dhoni,,,2016-2017,30,,,
21,SK Raina,,,2016-2017,29,,,
22,JDP Oram,,,2011-2011,2,,,
23,S Badrinath,,,2008-2013,95,,,
24,K Goel,,,2008-2010,22,,,
25,JR Hopes,,,2008-2008,11,,,
26,KC Sangakkara,,,2013-2013,9,,,
27,Yuvraj Singh,,,2016-2017,22,,,
28,SM Katich,,,2008-2009,11,,,
29,IK Pathan,,,2014-2014,10,,,
30,T Kohli,,,2008-2008,2,,,
31,YK Pathan,,,2018-2019,25,,,
32,SR Watson,,,2016-2017,24,,,
33,M Kaif,,,2011-2012,9,,,
34,DS Lehmann,,,2008-2008,2,,,
35,RA Jadeja,,,2008-2009,27,,,
36,M Rawat,,,2008-2009,16,,,
37,D Salunkhe,,,2008-2008,6,,,
38,SK Warne,,,2008-2011,55,,,
39,SK Trivedi,,,2008-2013,76,,,
40,G Gambhir,,,2011-2017,108,,,
41,V Sehwag,,,2014-2015,25,,,
42,S Dhawan,,,2013-2018,85,,,
43,L Ronchi,,,2008-2009,5,,,
44,ST Jayasuriya,,,2008-2010,30,,,
45,DJ Thornely,,,2008-2008,6,,,
46,RV Uthappa,,,2009-2010,31,,,
47,PR Shah,,,2011-2011,2,,,
48,AM Nayar,,,2014-2014,5,,,
49,SM Pollock,,,2008-2008,13,,,
50,Harbhajan Singh,,,2008-2017,136,,,
51,S Chanderpaul,,,2008-2008,3,,,
52,LRPL Taylor,,,2008-2010,22,,,
53,AC Gilchrist,,,2011-2013,34,,,
54,Y Venugopal Rao,,,2014-2014,7,,,
55,VVS Laxman,,,2011-2011,3,,,
56,A Symonds,,,2011-2011,11,,,
57,RG Sharma,,,2011-2024,212,,,
58,SB Styris,,,2008-2009,10,,,
59,AS Yadav,,,2008-2008,8,,,
60,SB Bangar,,,2009-2009,1,,,
61,WPUJC Vaas,,,2008-2010,13,,,
62,RP Singh,,,2013-2013,11,,,
63,WP Saha,,,2018-2021,29,,,
64,LR Shukla,,,2008-2013,42,,,
65,DPMD Jayawardene,,,2011-2011,13,,,
66,S Sohal,,,2008-2010,11,,,
67,B Lee,,,2011-2013,25,,,
68,PP Chawla,,,2021-2024,28,,,
69,WA Mota,,,2008-2009,12,,,
70,Kamran Akmal,,,2008-2008,6,,,
71,Shahid Afridi,,,2008-2008,10,,,
72,DJ Bravo,,,2008-2010,30,,,
73,MA Khote,,,2008-2008,4,,,
74,A Nehra,,,2016-2017,14,,,
75,GC Smith,,,2008-2010,25,,,
76,Pankaj Singh,,,2009-2010,5,,,
77,RR Sarwan,,,2008-2008,4,,,
78,S Sreesanth,,,2013-2013,7,,,
79,VRV Singh,,,2008-2010,19,,,
80,SS Tiwary,,,2011-2013,40,,,
81,DS Kulkarni,,,2014-2019,37,,,
