Player,Span,Mat,Team
P Amarnath,2008-2008,6,Chennai Super Kings
Akash Singh,2023-2023,6,Chennai Super Kings
MM Ali,2021-2024,48,Chennai Super Kings
S Anirudha,2008-2013,19,Chennai Super Kings
KB Arun Karthik,2010-2010,1,Chennai Super Kings
R Ashwin,2009-2015,97,Chennai Super Kings
KM Asif,2018-2021,3,Chennai Super Kings
S Badree,2014-2014,4,Chennai Super Kings
S Badrinath,2008-2013,95,Chennai Super Kings
GJ Bailey,2009-2010,4,Chennai Super Kings
L Balaji,2008-2010,29,Chennai Super Kings
SW Billings,2018-2019,11,Chennai Super Kings
DE Bollinger,2010-2012,27,Chennai Super Kings
DJ Bravo,2011-2022,116,Chennai Super Kings
DL Chahar,2018-2024,76,Chennai Super Kings
PP Chawla,2020-2020,7,Chennai Super Kings
DP Conway,2022-2023,23,Chennai Super Kings
SM Curran,2020-2021,23,Chennai Super Kings
TU Deshpande,2022-2024,31,Chennai Super Kings
MS Dhoni,2008-2024,234,Chennai Super Kings
S Dube,2022-2024,41,Chennai Super Kings
F du Plessis,2012-2021,92,Chennai Super Kings
SP Fleming,2008-2008,10,Chennai Super Kings
A Flintoff,2009-2009,3,Chennai Super Kings
RD Gaikwad,2020-2024,66,Chennai Super Kings
C Ganapathy,2010-2010,1,Chennai Super Kings
RJ Gleeson,2024-2024,2,Chennai Super Kings
MS Gony,2008-2010,26,Chennai Super Kings
RS Hangargekar,2023-2023,2,Chennai Super Kings
Harbhajan Singh,2018-2019,24,Chennai Super Kings
JW Hastings,2014-2014,1,Chennai Super Kings
ML Hayden,2008-2010,32,Chennai Super Kings
JR Hazlewood,2020-2021,12,Chennai Super Kings
BW Hilfenhaus,2012-2014,17,Chennai Super Kings
JO Holder,2013-2013,6,Chennai Super Kings
DJ Hussey,2014-2014,5,Chennai Super Kings
MEK Hussey,2008-2015,50,Chennai Super Kings
Imran Tahir,2018-2021,27,Chennai Super Kings
RA Jadeja,2012-2024,172,Chennai Super Kings
KM Jadhav,2018-2020,23,Chennai Super Kings
N Jagadeesan,2020-2022,7,Chennai Super Kings
SB Jakati,2009-2012,50,Chennai Super Kings
Joginder Sharma,2008-2011,16,Chennai Super Kings
CJ Jordan,2022-2022,4,Chennai Super Kings
S Randiv,2011-2011,8,Chennai Super Kings
CK Kapugedera,2008-2008,5,Chennai Super Kings
JM Kemp,2010-2010,5,Chennai Super Kings
SC Kuggeleijn,2019-2019,2,Chennai Super Kings
KMDN Kulasekara,2011-2012,6,Chennai Super Kings
B Laughlin,2013-2013,2,Chennai Super Kings
BB McCullum,2014-2015,28,Chennai Super Kings
SSB Magala,2023-2023,2,Chennai Super Kings
VY Mahesh,2012-2012,5,Chennai Super Kings
M Manhas,2014-2014,12,Chennai Super Kings
AF Milne,2022-2022,1,Chennai Super Kings
DJ Mitchell,2024-2024,13,Chennai Super Kings
Monu Kumar,2020-2020,1,Chennai Super Kings
RG More,2015-2015,2,Chennai Super Kings
JA Morkel,2008-2013,78,Chennai Super Kings
CH Morris,2013-2013,16,Chennai Super Kings
Mukesh Choudhary,2022-2024,14,Chennai Super Kings
A Mukund,2008-2008,2,Chennai Super Kings
M Muralidaran,2008-2010,40,Chennai Super Kings
Mustafizur Rahman,2024-2024,9,Chennai Super Kings
DP Nannes,2013-2013,5,Chennai Super Kings
P Negi,2014-2015,12,Chennai Super Kings
A Nehra,2014-2015,20,Chennai Super Kings
L Ngidi,2018-2021,14,Chennai Super Kings
M Ntini,2008-2008,9,Chennai Super Kings
JDP Oram,2008-2009,15,Chennai Super Kings
IC Pandey,2014-2015,23,Chennai Super Kings
PA Patel,2008-2010,26,Chennai Super Kings
M Pathirana,2022-2024,20,Chennai Super Kings
NLTC Perera,2010-2010,1,Chennai Super Kings
D Pretorius,2022-2023,7,Chennai Super Kings
AM Rahane,2023-2024,27,Chennai Super Kings
SK Raina,2008-2021,176,Chennai Super Kings
AS Rajpoot,2013-2013,2,Chennai Super Kings
R Ravindra,2024-2024,10,Chennai Super Kings
AT Rayudu,2018-2023,90,Chennai Super Kings
WP Saha,2011-2013,14,Chennai Super Kings
Sameer Rizvi,2024-2024,8,Chennai Super Kings
MJ Santner,2019-2024,18,Chennai Super Kings
V Shankar,2014-2014,1,Chennai Super Kings
KV Sharma,2018-2020,12,Chennai Super Kings
MM Sharma,2013-2019,48,Chennai Super Kings
DR Shorey,2018-2019,2,Chennai Super Kings
