Player,Link
P Amarnath,/cricketers/palani-amarnath-290629
Akash Singh,/cricketers/akash-singh-1175458
MM Ali,/cricketers/moeen-ali-8917
S Anirudha,/cricketers/srikkanth-anirudha-26798
KB Arun Karthik,/cricketers/arun-karthik-319745
R Ashwin,/cricketers/ravichandran-ashwin-26421
KM Asif,/cricketers/km-asif-1083030
S Badree,/cricketers/samuel-badree-51433
S Badrinath,/cricketers/s-badrinath-26806
GJ Bailey,/cricketers/george-bailey-4451
L Balaji,/cricketers/lakshmipathy-balaji-26829
SW Billings,/cricketers/sam-billings-297628
DE Bollinger,/cricketers/doug-bollinger-4508
DJ Bravo,/cricketers/dwayne-bravo-51439
DL Chahar,/cricketers/deepak-chahar-447261
PP Chawla,/cricketers/piyush-chawla-32966
DP Conway,/cricketers/devon-conway-379140
SM Curran,/cricketers/sam-curran-662973
TU Deshpande,/cricketers/tushar-deshpande-822553
MS Dhoni,/cricketers/ms-dhoni-28081
S Dube,/cricketers/shivam-dube-714451
F du Plessis,/cricketers/faf-du-plessis-44828
SP Fleming,/cricketers/stephen-fleming-37000
A Flintoff,/cricketers/andrew-flintoff-12856
RD Gaikwad,/cricketers/ruturaj-gaikwad-1060380
C Ganapathy,/cricketers/chandrasekar-ganapathy-28764
RJ Gleeson,/cricketers/richard-gleeson-473191
MS Gony,/cricketers/manpreet-gony-317293
RS Hangargekar,/cricketers/rajvardhan-hangargekar-1175429
Harbhajan Singh,/cricketers/harbhajan-singh-29264
JW Hastings,/cricketers/john-hastings-228622
ML Hayden,/cricketers/matthew-hayden-5616
JR Hazlewood,/cricketers/josh-hazlewood-288284
BW Hilfenhaus,/cricketers/ben-hilfenhaus-5941
JO Holder,/cricketers/jason-holder-391485
DJ Hussey,/cricketers/david-hussey-5766
MEK Hussey,/cricketers/michael-hussey-5939
Imran Tahir,/cricketers/imran-tahir-40618
RA Jadeja,/cricketers/ravindra-jadeja-234675
KM Jadhav,/cricketers/kedar-jadhav-290716
N Jagadeesan,/cricketers/narayan-jagadeesan-1048813
SB Jakati,/cricketers/shadab-jakati-29655
Joginder Sharma,/cricketers/joginder-sharma-29976
CJ Jordan,/cricketers/chris-jordan-288992
S Randiv,/cricketers/suraj-randiv-50438
CK Kapugedera,/cricketers/chamara-kapugedera-209457
JM Kemp,/cricketers/justin-kemp-45797
SC Kuggeleijn,/cricketers/scott-kuggeleijn-539548
KMDN Kulasekara,/cricketers/nuwan-kulasekara-49535
B Laughlin,/cricketers/ben-laughlin-315623
BB McCullum,/cricketers/brendon-mccullum-37737
SSB Magala,/cricketers/sisanda-magala-379776
VY Mahesh,/cricketers/yo-mahesh-31732
M Manhas,/cricketers/mithun-manhas-31001
AF Milne,/cricketers/adam-milne-450860
DJ Mitchell,/cricketers/daryl-mitchell-381743
Monu Kumar,/cricketers/monu-kumar-694209
RG More,/cricketers/ronit-more-424219
JA Morkel,/cricketers/albie-morkel-46248
CH Morris,/cricketers/chris-morris-439952
Mukesh Choudhary,/cricketers/mukesh-choudhary-1125688
A Mukund,/cricketers/abhinav-mukund-302582
M Muralidaran,/cricketers/muthiah-muralidaran-49636
Mustafizur Rahman,/cricketers/mustafizur-rahman-330902
DP Nannes,/cricketers/dirk-nannes-6981
P Negi,/cricketers/pawan-negi-530773
A Nehra,/cricketers/ashish-nehra-31820
L Ngidi,/cricketers/lungi-ngidi-542023
M Ntini,/cricketers/makhaya-ntini-46592
JDP Oram,/cricketers/jacob-oram-38062
IC Pandey,/cricketers/ishwar-pandey-447439
PA Patel,/cricketers/parthiv-patel-32242
M Pathirana,/cricketers/matheesha-pathirana-1194795
NLTC Perera,/cricketers/thisara-perera-233514
D Pretorius,/cricketers/dwaine-pretorius-327830
AM Rahane,/cricketers/ajinkya-rahane-277916
SK Raina,/cricketers/suresh-raina-33335
AS Rajpoot,/cricketers/ankit-rajpoot-591650
R Ravindra,/cricketers/rachin-ravindra-959767
AT Rayudu,/cricketers/ambati-rayudu-33141
WP Saha,/cricketers/wriddhiman-saha-279810
Sameer Rizvi,/cricketers/sameer-rizvi-1175489
MJ Santner,/cricketers/mitchell-santner-502714
V Shankar,/cricketers/vijay-shankar-477021
KV Sharma,/cricketers/karn-sharma-30288
MM Sharma,/cricketers/mohit-sharma-537119
DR Shorey,/cricketers/dhruv-shorey-590327
Simarjeet Singh,/cricketers/simarjeet-singh-1159722
DR Smith,/cricketers/dwayne-smith-53118
PH Solanki,/cricketers/prashant-solanki-1252337
TG Southee,/cricketers/tim-southee-232364
BA Stokes,/cricketers/ben-stokes-311158
SB Styris,/cricketers/scott-styris-38407
SN Thakur,/cricketers/shardul-thakur-475281
M Theekshana,/cricketers/maheesh-theekshana-1138316
T Thushara,/cricketers/thilan-thushara-49677
S Tyagi,/cricketers/sudeep-tyagi-317784
RV Uthappa,/cricketers/robin-uthappa-35582
S Vidyut,/cricketers/vidyut-sivaramakrishnan-35619
M Vijay,/cricketers/murali-vijay-237095
SR Watson,/cricketers/shane-watson-8180
DJ Willey,/cricketers/david-willey-308251
MA Wood,/cricketers/mark-wood-351588
Anand Rajan,/cricketers/anand-rajan-26797
Anirudh Singh,/cricketers/anirudh-singh-26252
Ankit Sharma,/cricketers/ankit-sharma-422992
A Ashish Reddy,/cricketers/ashish-reddy-389605
SB Bangar,/cricketers/sanjay-bangar-27225
AA Bilakhia,/cricketers/azhar-bilakhia-26946
B Chipli,/cricketers/bharat-chipli-27685
DT Christian,/cricketers/dan-christian-4864
H Das,/cricketers/halhadar-das-236810
KH Devdhar,/cricketers/kedar-devdhar-340063
S Dhawan,/cricketers/shikhar-dhawan-28235
JP Duminy,/cricketers/jean-paul-duminy-44932
FH Edwards,/cricketers/fidel-edwards-51782
HH Gibbs,/cricketers/herschelle-gibbs-45224
AC Gilchrist,/cricketers/adam-gilchrist-5390
Harmeet Singh,/cricketers/harmeet-singh-391128
DJ Harris,/cricketers/daniel-harris-5583
RJ Harris,/cricketers/ryan-harris-5779
IR Jaggi,/cricketers/ishank-jaggi-279554
Jaskaran Singh,/cricketers/jaskaran-singh-376102
AA Jhunjhunwala,/cricketers/abhishek-jhunjhunwala-29702
D Kalyankrishna,/cricketers/doddapaneni-kalyankrishna-30719
VVS Laxman,/cricketers/vvs-laxman-30750
MJ Lumb,/cricketers/michael-lumb-16406
CA Lynn,/cricketers/chris-lynn-326637
I Malhotra,/cricketers/ishan-malhotra-31088
MR Marsh,/cricketers/mitchell-marsh-272450
A Mishra,/cricketers/amit-mishra-31107
MD Mishra,/cricketers/mohnish-mishra-31028
T Mishra,/cricketers/tanmay-mishra-24790
PP Ojha,/cricketers/pragyan-ojha-32130
V Pratap Singh,/cricketers/veer-pratap-singh-528967
DB Ravi Teja,/cricketers/dwaraka-ravi-teja-237701
PA Reddy,/cricketers/akshath-reddy-376109
KAJ Roach,/cricketers/kemar-roach-230553
BB Samantray,/cricketers/biplab-samantray-430125
KC Sangakkara,/cricketers/kumar-sangakkara-50710
PM Sarvesh Kumar,/cricketers/pm-sarvesh-kumar-327127
Shahid Afridi,/cricketers/shahid-afridi-42639
I Sharma,/cricketers/ishant-sharma-236779
R Sharma,/cricketers/rahul-sharma-272994
RG Sharma,/cricketers/rohit-sharma-34102
Shoaib Ahmed,/cricketers/shoaib-ahmed-317709
LPC Silva,/cricketers/chamara-silva-50431
RP Singh,/cricketers/rp-singh-35280
S Sohal,/cricketers/sunny-sohal-228943
DW Steyn,/cricketers/dale-steyn-47492
TP Sudhindra,/cricketers/tp-sudhindra-34139
TL Suman,/cricketers/tirumalasetti-suman-34281
B Sumanth,/cricketers/bodapati-sumanth-253798
A Symonds,/cricketers/andrew-symonds-7702
J Theron,/cricketers/rusty-theron-223642
WPUJC Vaas,/cricketers/chaminda-vaas-50804
Y Venugopal Rao,/cricketers/venugopal-rao-35805
DP Vijaykumar,/cricketers/paidikalva-vijaykumar-272949
CL White,/cricketers/cameron-white-8291
AS Yadav,/cricketers/arjun-yadav-36110
DNT Zoysa,/cricketers/nuwan-zoysa-51050
S Ladda,/cricketers/sarabjit-ladda-317292
AR Bawne,/cricketers/ankit-bawne-327123
VR Aaron,/cricketers/varun-aaron-360911
Abhishek Sharma,/cricketers/abhishek-sharma-1070183
Abishek Porel,/cricketers/abishek-porel-1277545
AB Agarkar,/cricketers/ajit-agarkar-26184
MA Agarwal,/cricketers/mayank-agarawal-398438
KK Ahmed,/cricketers/khaleel-ahmed-942645
Aman Hakim Khan,/cricketers/aman-khan-1254269
CJ Anderson,/cricketers/corey-anderson-277662
Avesh Khan,/cricketers/avesh-khan-694211
KS Bharat,/cricketers/srikar-bharat-529436
R Bhatia,/cricketers/rajat-bhatia-26907
RK Bhui,/cricketers/ricky-bhui-642531
TR Birt,/cricketers/travis-birt-4292
J Botha,/cricketers/johan-botha-44149
TA Boult,/cricketers/trent-boult-277912
DAJ Bracewell,/cricketers/doug-bracewell-362541
CR Brathwaite,/cricketers/carlos-brathwaite-457249
AT Carey,/cricketers/alex-carey-326434
UBT Chand,/cricketers/unmukt-chand-446499
PD Collingwood,/cricketers/paul-collingwood-10772
NM Coulter-Nile,/cricketers/nathan-coulter-nile-261354
PJ Cummins,/cricketers/pat-cummins-489889
TK Curran,/cricketers/tom-curran-550235
CJ Dala,/cricketers/junior-dala-545467
Q de Kock,/cricketers/quinton-de-kock-379143
AB de Villiers,/cricketers/ab-de-villiers-44936
YV Dhull,/cricketers/yash-dhull-1292498
TM Dilshan,/cricketers/tillakaratne-dilshan-48472
AB Dinda,/cricketers/ashok-dinda-227712
P Dubey,/cricketers/praveen-dubey-777515
AJ Finch,/cricketers/aaron-finch-5334
J Fraser-McGurk,/cricketers/jake-fraser-mcgurk-1168049
G Gambhir,/cricketers/gautam-gambhir-28763
PK Garg,/cricketers/priyam-garg-1070180
CM Gautam,/cricketers/chidhambaram-gautam-302208
B Geeves,/cricketers/brett-geeves-5472
Gulbadin Naib,/cricketers/gulbadin-naib-352048
Sunny Gupta,/cricketers/sunny-gupta-271315
MC Henriques,/cricketers/moises-henriques-5961
SO Hetmyer,/cricketers/shimron-hetmyer-670025
SD Hope,/cricketers/shai-hope-581379
JR Hopes,/cricketers/james-hopes-5702
CA Ingram,/cricketers/colin-ingram-45705
SS Iyer,/cricketers/shreyas-iyer-642519
DPMD Jayawardene,/cricketers/mahela-jayawardene-49289
MC Juneja,/cricketers/manprit-juneja-390480
KD Karthik,/cricketers/dinesh-karthik-30045
S Kaul,/cricketers/siddarth-kaul-326017
SN Khan,/cricketers/sarfaraz-khan-642525
Z Khan,/cricketers/zaheer-khan-30102
Kuldeep Yadav,/cricketers/kuldeep-yadav-559235
K Kushagra,/cricketers/kumar-kushagra-1207295
S Lamichhane,/cricketers/sandeep-lamichhane-960361
AB McDonald,/cricketers/andrew-mcdonald-6553
GD McGrath,/cricketers/glenn-mcgrath-6565
MF Maharoof,/cricketers/farveez-maharoof-49638
Mandeep Singh,/cricketers/mandeep-singh-398506
AD Mathews,/cricketers/angelo-mathews-49764
GJ Maxwell,/cricketers/glenn-maxwell-325026
BMAJ Mendis,/cricketers/jeevan-mendis-49700
LI Meriwala,/cricketers/lukman-meriwala-573930
Mohammad Asif,/cricketers/mohammad-asif-41411
Mohammed Shami,/cricketers/mohammed-shami-481896
M Morkel,/cricketers/morne-morkel-46538
Mukesh Kumar,/cricketers/mukesh-kumar-926851
C Munro,/cricketers/colin-munro-232359
DJ Muthuswami,/cricketers/domnic-muthuswami-528985
S Nadeem,/cricketers/shahbaz-nadeem-31872
Y Nagar,/cricketers/yogesh-nagar-317786
KL Nagarkoti,/cricketers/kamlesh-nagarkoti-1070188
KK Nair,/cricketers/karun-nair-398439
JDS Neesham,/cricketers/james-neesham-355269
A Nortje,/cricketers/anrich-nortje-481979
NV Ojha,/cricketers/naman-ojha-32102
MK Pandey,/cricketers/manish-pandey-290630
RR Pant,/cricketers/rishabh-pant-931581
WD Parnell,/cricketers/wayne-parnell-265564
AR Patel,/cricketers/axar-patel-554691
HV Patel,/cricketers/harshal-patel-390481
RV Patel,/cricketers/ripal-patel-1201520
IK Pathan,/cricketers/irfan-pathan-32685
KMA Paul,/cricketers/keemo-paul-677081
KP Pietersen,/cricketers/kevin-pietersen-19296
LE Plunkett,/cricketers/liam-plunkett-19264
R Powell,/cricketers/rovman-powell-820351
K Rabada,/cricketers/kagiso-rabada-550215
Rasikh Salam,/cricketers/rasikh-salam-1161489
JA Richardson,/cricketers/jhye-richardson-774223
BJ Rohrer,/cricketers/ben-rohrer-7547
RR Rossouw,/cricketers/rilee-rossouw-318845
JJ Roy,/cricketers/jason-roy-298438
AD Russell,/cricketers/andre-russell-276298
SE Rutherford,/cricketers/sherfane-rutherford-914541
C Sakariya,/cricketers/chetan-sakariya-1131754
PD Salt,/cricketers/phil-salt-669365
AM Salvi,/cricketers/aavishkar-salvi-34264
DR Sams,/cricketers/daniel-sams-826901
SV Samson,/cricketers/sanju-samson-425943
MN Samuels,/cricketers/marlon-samuels-52983
GS Sandhu,/cricketers/gurinder-sandhu-499660
PJ Sangwan,/cricketers/pradeep-sangwan-279545
V Sehwag,/cricketers/virender-sehwag-35263
TL Seifert,/cricketers/tim-seifert-625964
PP Shaw,/cricketers/prithvi-shaw-1070168
Shoaib Malik,/cricketers/shoaib-malik-42657
LR Shukla,/cricketers/laxmi-shukla-34019
R Shukla,/cricketers/rahul-shukla-390547
SPD Smith,/cricketers/steven-smith-267192
S Sriram,/cricketers/sridharan-sriram-34118
MP Stoinis,/cricketers/marcus-stoinis-325012
T Stubbs,/cricketers/tristan-stubbs-595978
J Suchith,/cricketers/jagadeesha-suchith-527663
Sumit Kumar,/cricketers/sumit-kumar-1159734
AP Tare,/cricketers/aditya-tare-333904
LRPL Taylor,/cricketers/ross-taylor-38699
R Tewatia,/cricketers/rahul-tewatia-423838
MK Tiwary,/cricketers/manoj-tiwary-35565
SS Tiwary,/cricketers/saurabh-tiwary-35390
JD Unadkat,/cricketers/jaydev-unadkat-390484
RE van der Merwe,/cricketers/roelof-van-der-merwe-47850
DL Vettori,/cricketers/daniel-vettori-38710
GH Vihari,/cricketers/hanuma-vihari-452044
MS Wade,/cricketers/matthew-wade-230193
DA Warner,/cricketers/david-warner-219889
LB Williams,/cricketers/lizaad-williams-379887
CR Woakes,/cricketers/chris-woakes-247235
J Yadav,/cricketers/jayant-yadav-447587
