player_id,player_name,country,played_international,bowling_style,batting_style,player_role,played_t20i
2,BB McCullum,New Zealand,2002 - 2016,"Right arm Medium, Right arm Offbreak",Right hand Bat,Wicketkeeper Batter,Yes
3,RT Ponting,Australia,1995 - 2012,Right arm Medium,Right hand Bat,Top order Batter,Yes
4,DJ Hussey,Australia,2008 - 2013,Right arm Offbreak,Right hand Bat,Allrounder,Yes
5,Mohammad Hafeez,Pakistan,2003 - 2021,Right arm Offbreak,Right hand Bat,Allrounder,Yes
9,JH Kallis,South Africa,1995 - 2014,Right arm Fast medium,Right hand Bat,Allrounder,Yes
10,CL White,Australia,2005 - 2018,Legbreak Googly,Right hand Bat,Middle order Batter,Yes
11,MV Boucher,South Africa,1997 - 2012,Right arm Medium,Right hand Bat,Wicketkeeper Batter,Yes
13,AA Noffke,Australia,2007 - 2008,Right arm Fast medium,Right hand Bat,Allrounder,Yes
18,ML Hayden,Australia,1993 - 2009,Right arm Medium,Left hand Bat,Opening Batter,Yes
19,MEK Hussey,Australia,2004 - 2013,Right arm Medium,Left hand Bat,Middle order Batter,Yes
22,JDP Oram,New Zealand,2001 - 2012,Right arm Fast medium,Left hand Bat,Allrounder,Yes
25,JR Hopes,Australia,2005 - 2010,Right arm Medium,Right hand Bat,Allrounder,Yes
26,KC Sangakkara,Sri Lanka,2000 - 2015,Right arm Offbreak,Left hand Bat,Wicketkeeper Batter,Yes
28,SM Katich,Australia,2001 - 2010,Left arm Wrist spin,Left hand Bat,Batter,Yes
32,SR Watson,Australia,2002 - 2016,Right arm Fast medium,Right hand Bat,Allrounder,Yes
43,L Ronchi,New Zealand,2008 - 2018,,Right hand Bat,Wicketkeeper Batter,Yes
44,ST Jayasuriya,Sri Lanka,1989 - 2011,Slow Left arm Orthodox,Left hand Bat,Allrounder,Yes
49,SM Pollock,South Africa,1995 - 2008,Right arm Fast medium,Right hand Bat,Allrounder,Yes
51,S Chanderpaul,West Indies,1994 - 2015,Legbreak,Left hand Bat,Batter,Yes
52,LRPL Taylor,New Zealand,2006 - 2022,Right arm Offbreak,Right hand Bat,Middle order Batter,Yes
53,AC Gilchrist,Australia,1996 - 2008,Right arm Offbreak,Left hand Bat,Wicketkeeper Batter,Yes
56,A Symonds,Australia,1998 - 2009,"Right arm Medium, Right arm Offbreak",Right hand Bat,Allrounder,Yes
58,SB Styris,New Zealand,1999 - 2011,Right arm Medium,Right hand Bat,Allrounder,Yes
61,WPUJC Vaas,Sri Lanka,1994 - 2009,Left arm Fast medium,Left hand Bat,Bowler,Yes
65,DPMD Jayawardene,Sri Lanka,1997 - 2015,Right arm Medium,Right hand Bat,Batter,Yes
66,S Sohal,U.S.A.,2019 - 2019,Legbreak,Right hand Bat,Batter,Yes
67,B Lee,Australia,1999 - 2012,Right arm Fast,Right hand Bat,Bowler,Yes
70,Kamran Akmal,Pakistan,2002 - 2017,,Right hand Bat,Wicketkeeper Batter,Yes
71,Shahid Afridi,Pakistan,1996 - 2018,Legbreak Googly,Right hand Bat,Allrounder,Yes
72,DJ Bravo,West Indies,2004 - 2021,Right arm Medium,Right hand Bat,Allrounder,Yes
75,GC Smith,South Africa,2002 - 2014,Right arm Offbreak,Left hand Bat,Opening Batter,Yes
77,RR Sarwan,West Indies,2000 - 2013,Legbreak,Right hand Bat,Batter,Yes
87,Shoaib Malik,Pakistan,1999 - 2021,Right arm Offbreak,Right hand Bat,Allrounder,Yes
91,MF Maharoof,Sri Lanka,2004 - 2016,Right arm Fast medium,Right hand Bat,Allrounder,Yes
95,DW Steyn,South Africa,2004 - 2020,Right arm Fast,Right hand Bat,Bowler,Yes
98,HH Gibbs,South Africa,1996 - 2010,Right arm Bowler,Right hand Bat,Opening Batter,Yes
101,SE Marsh,Australia,2008 - 2019,Slow Left arm Orthodox,Left hand Bat,Top order Batter,Yes
103,Sohail Tanvir,Pakistan,2007 - 2017,Left arm Medium fast,Left hand Bat,Bowler,Yes
104,Salman Butt,Pakistan,2003 - 2010,Right arm Offbreak,Left hand Bat,Batter,Yes
105,BJ Hodge,Australia,2005 - 2014,Right arm Offbreak,Right hand Bat,Top order Batter,Yes
106,Umar Gul,Pakistan,2003 - 2016,Right arm Fast medium,Right hand Bat,Bowler,Yes
108,SP Fleming,New Zealand,1994 - 2008,,Left hand Bat,Top order Batter,Yes
110,JA Morkel,South Africa,2004 - 2015,Right arm Medium fast,Left hand Bat,Bowling Allrounder,Yes
111,AB de Villiers,South Africa,2004 - 2018,Right arm Medium,Right hand Bat,Wicketkeeper Batter,Yes
112,LPC Silva,Sri Lanka,1999 - 2011,Legbreak,Right hand Bat,Batter,Yes
114,Misbah-ul-Haq,Pakistan,2001 - 2017,Legbreak,Right hand Bat,Middle order Batter,Yes
118,Mohammad Asif,Pakistan,2005 - 2010,Right arm Fast medium,Left hand Bat,Bowler,Yes
119,GD McGrath,Australia,1993 - 2007,Right arm Fast medium,Right hand Bat,Bowler,Yes
123,M Ntini,South Africa,1998 - 2011,Right arm Fast,Right hand Bat,Bowler,Yes
128,CK Kapugedera,Sri Lanka,2006 - 2017,Right arm Medium,Right hand Bat,Middle order Batter,Yes
130,T Taibu,Zimbabwe,2001 - 2012,Right arm Medium,Right hand Bat,Wicketkeeper Batter,Yes
136,TM Dilshan,Sri Lanka,1999 - 2016,Right arm Offbreak,Right hand Bat,Allrounder,Yes
