Team,Link
Chennai Super Kings,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343
Deccan Chargers,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4347
Delhi Daredevils,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4344
Gujarat Lions,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=5845
Gujarat Titans,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=6904
Kings XI Punjab,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4342
Kochi Tuskers Kerala,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4788
Kolkata Knight Riders,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4341
Lucknow Super Giants,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=6903
Mumbai Indians,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4346
Pune Warriors,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4787
Rajasthan Royals,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4345
Rising Pune Supergiants,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=5843
Royal Challengers Bangalore,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4340
Sunrisers Hyderabad,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=5143
Chennai Super Kings,https://www.espncricinfo.com/records/trophy/averages-bowling/indian-premier-league-117?team=4343
Deccan Chargers,https://www.espncricinfo.com/records/trophy/averages-bowling/indian-premier-league-117?team=4347
Delhi Daredevils,https://www.espncricinfo.com/records/trophy/averages-bowling/indian-premier-league-117?team=4344
Gujarat Lions,https://www.espncricinfo.com/records/trophy/averages-bowling/indian-premier-league-117?team=5845
Gujarat Titans,https://www.espncricinfo.com/records/trophy/averages-bowling/indian-premier-league-117?team=6904
Kings XI Punjab,https://www.espncricinfo.com/records/trophy/averages-bowling/indian-premier-league-117?team=4342
Kochi Tuskers Kerala,https://www.espncricinfo.com/records/trophy/averages-bowling/indian-premier-league-117?team=4788
Kolkata Knight Riders,https://www.espncricinfo.com/records/trophy/averages-bowling/indian-premier-league-117?team=4341
Lucknow Super Giants,https://www.espncricinfo.com/records/trophy/averages-bowling/indian-premier-league-117?team=6903
Mumbai Indians,https://www.espncricinfo.com/records/trophy/averages-bowling/indian-premier-league-117?team=4346
Pune Warriors,https://www.espncricinfo.com/records/trophy/averages-bowling/indian-premier-league-117?team=4787
Rajasthan Royals,https://www.espncricinfo.com/records/trophy/averages-bowling/indian-premier-league-117?team=4345
Rising Pune Supergiants,https://www.espncricinfo.com/records/trophy/averages-bowling/indian-premier-league-117?team=5843
Royal Challengers Bangalore,https://www.espncricinfo.com/records/trophy/averages-bowling/indian-premier-league-117?team=4340
Sunrisers Hyderabad,https://www.espncricinfo.com/records/trophy/averages-bowling/indian-premier-league-117?team=5143
